,date,createdDate,name,playerClass,index
61,2014-12-16 09:56:50.180,2014-12-16T09:56:50.180Z,stealyourshit,Priest,61
62,2014-12-16 11:03:22.021,2014-12-16T11:03:22.021Z,Handlock,Warlock,62
63,2014-12-16 11:07:11.062,2014-12-16T11:07:11.062Z,the_boys,Paladin,63
64,2014-12-16 11:16:26.604,2014-12-16T11:16:26.604Z,Echo Chow,Mage,64
65,2014-12-16 11:21:22.478,2014-12-16T11:21:22.478Z,Lok'tar,Warrior,65
66,2014-12-16 11:56:36.499,2014-12-16T11:56:36.499Z,Chris's Shaman,Shaman,66
67,2014-12-16 13:44:00.306,2014-12-16T13:44:00.306Z,Roar!,Druid,67
68,2014-12-16 15:26:40.630,2014-12-16T15:26:40.630Z,Shadowstep to Legend : A Theory Build,Rogue,68
69,2014-12-16 15:54:02.373,2014-12-16T15:54:02.373Z,Tree Fiddy Deck,Druid,69
70,2014-12-16 16:34:11.315,2014-12-16T16:34:11.315Z,NotABot MillRogue,Rogue,70
71,2014-12-16 16:43:33.915,2014-12-16T16:43:33.915Z,[F2P] Dakotastic's Millhau5 Mill Rogue,Rogue,71
72,2014-12-16 19:35:43.280,2014-12-16T19:35:43.280Z,Don't Buzz just Knock,Hunter,72
73,2014-12-16 20:38:27.583,2014-12-16T20:38:27.583Z,Demon Handlock,Warlock,73
74,2014-12-17 00:54:23.770,2014-12-17T00:54:23.770Z,Control Demonlock,Warlock,74
75,2014-12-17 01:25:18.123,2014-12-17T01:25:18.123Z,BreeBotJr's Control Warrior,Warrior,75
76,2014-12-17 02:16:41.830,2014-12-17T02:16:41.830Z,GvG Control Rogue,Rogue,76
77,2014-12-17 05:03:20.540,2014-12-17T05:03:20.540Z,Mechs of Spare Life ft Gazlowe,Druid,77
78,2014-12-17 09:20:29.986,2014-12-17T09:20:29.986Z,late game or no game,Warrior,78
79,2014-12-17 10:40:12.052,2014-12-17T10:40:12.052Z,Firebat oiled upgrade Ft. Shrek,Rogue,79
80,2014-12-17 13:22:47.911,2014-12-17T13:22:47.911Z,75% win rate legend in 8 hours easy,Warrior,80
81,2014-12-17 15:26:06.203,2014-12-17T15:26:06.203Z,Firebat oiled upgrade Ft. Forsen and shitstep,Rogue,81
82,2014-12-17 16:29:00.549,2014-12-17T16:29:00.549Z,Night before christmas,Priest,82
83,2014-12-17 17:30:16.734,2014-12-17T17:30:16.734Z,Aggro Antonidas,Mage,83
84,2014-12-17 18:07:34.332,2014-12-17T18:07:34.332Z,Mecha Deathrattle priest,Priest,84
85,2014-12-17 21:46:56.214,2014-12-17T21:46:56.214Z,Reincarnate Shaman,Shaman,85
86,2014-12-17 22:12:27.303,2014-12-17T22:12:27.303Z,shaman,Shaman,86
87,2014-12-17 23:46:19.888,2014-12-17T23:46:19.888Z,Robo Rogue 2.0,Rogue,87
88,2014-12-18 01:34:56.394,2014-12-18T01:34:56.394Z,New Control Shaman,Shaman,88
89,2014-12-18 04:30:13.192,2014-12-18T04:30:13.192Z,neptuleon thecools number 15 legend eu,Shaman,89
90,2014-12-18 04:33:27.561,2014-12-18T04:33:27.561Z,Echo control,Mage,90
91,2014-12-18 05:04:00.462,2014-12-18T05:04:00.462Z,whatdoyouthink?,Warlock,91
92,2014-12-18 05:47:58.241,2014-12-18T05:47:58.241Z,PaulWog's Quarter-Control,Paladin,92
93,2014-12-18 06:07:21.188,2014-12-18T06:07:21.188Z,Shaman  - Midrange,Shaman,93
94,2014-12-18 07:11:47.448,2014-12-18T07:11:47.448Z,Olethrus25_Hunter,Hunter,94
95,2014-12-18 09:18:53.576,2014-12-18T09:18:53.576Z,Handlock after gvg,Warlock,95
96,2014-12-18 10:16:38.328,2014-12-18T10:16:38.328Z,Paladin Control Test,Paladin,96
97,2014-12-18 10:21:42.868,2014-12-18T10:21:42.868Z,Priest Control,Priest,97
98,2014-12-18 10:27:01.609,2014-12-18T10:27:01.609Z,Shaman Control,Shaman,98
99,2014-12-18 10:34:20.663,2014-12-18T10:34:20.663Z,GvG Giants Mage,Mage,99
100,2014-12-18 11:19:01.581,2014-12-18T11:19:01.581Z,Weapon Rogue.,Rogue,100
101,2014-12-18 11:52:16.883,2014-12-18T11:52:16.883Z,Shadowpriest,Priest,101
102,2014-12-18 12:16:08.728,2014-12-18T12:16:08.728Z,Miracle Mech,Rogue,102
103,2014-12-18 12:47:11.088,2014-12-18T12:47:11.088Z,DraaMage,Mage,103
104,2014-12-18 15:56:22.799,2014-12-18T15:56:22.799Z,Clockwork Zoo,Warlock,104
105,2014-12-18 16:35:16.387,2014-12-18T16:35:16.387Z,Midrange Mage Bothari,Mage,105
106,2014-12-18 17:24:53.319,2014-12-18T17:24:53.319Z,GvG Midrange Hunter,Hunter,106
107,2014-12-18 18:33:32.853,2014-12-18T18:33:32.853Z,Empowered Shaman,Shaman,107
108,2014-12-18 19:42:22.577,2014-12-18T19:42:22.577Z,Controlladin,Paladin,108
109,2014-12-18 20:19:25.598,2014-12-18T20:19:25.598Z,Pray to Unstable portal,Mage,109
110,2014-12-18 20:22:59.187,2014-12-18T20:22:59.187Z,Wisps OP,Druid,110
111,2014-12-18 20:24:37.534,2014-12-18T20:24:37.534Z,Aggro Priest,Priest,111
112,2014-12-18 20:26:36.131,2014-12-18T20:26:36.131Z,Murloc Shaman,Shaman,112
113,2014-12-18 20:32:28.359,2014-12-18T20:32:28.359Z,Pirate Rogue,Rogue,113
114,2014-12-18 20:35:40.420,2014-12-18T20:35:40.420Z,Pally gunna get you,Paladin,114
115,2014-12-18 20:39:39.437,2014-12-18T20:39:39.437Z,Probably Bad,Priest,115
116,2014-12-18 20:41:48.598,2014-12-18T20:41:48.598Z,Mech Warlock,Warlock,116
117,2014-12-18 20:45:22.918,2014-12-18T20:45:22.918Z,"Sure it's bad, but cancer.",Hunter,117
118,2014-12-18 23:10:38.995,2014-12-18T23:10:38.995Z,Alesh's Aggresive Shaman,Shaman,118
119,2014-12-19 00:21:20.212,2014-12-19T00:21:20.212Z,Warrior doe,Warrior,119
