createdDate,name,playerClass
2014-12-18 12:47:11.088,DraaMage,Mage
2014-12-18 15:56:22.799,Clockwork Zoo,Warlock
2014-12-18 16:35:16.387,Midrange Mage Bothari,Mage
2014-12-18 17:24:53.319,GvG Midrange Hunter,Hunter
2014-12-18 18:33:32.853,Empowered Shaman,Shaman
2014-12-18 19:42:22.577,Controlladin,Paladin
2014-12-18 20:19:25.598,Pray to Unstable portal,Mage
2014-12-18 20:22:59.187,Wisps OP,Druid
2014-12-18 20:24:37.534,Aggro Priest,Priest
2014-12-18 20:26:36.131,Murloc Shaman,Shaman
2014-12-18 20:32:28.359,Pirate Rogue,Rogue
2014-12-18 20:35:40.420,Pally gunna get you,Paladin
2014-12-18 20:39:39.437,Probably Bad,Priest
2014-12-18 20:41:48.598,Mech Warlock,Warlock
2014-12-18 20:45:22.918,"Sure it's bad, but cancer.",Hunter
2014-12-18 23:10:38.995,Alesh's Aggresive Shaman,Shaman
2014-12-19 00:21:20.212,Warrior doe,Warrior
2014-12-19 02:21:12.616,ハンター (Top 50 midrange hunter),Hunter
2014-12-19 03:31:35.683,mech?,Rogue
2014-12-19 03:38:03.100,mine,Rogue
2014-12-19 05:49:42.045,Minion based freeze mage,Mage
2014-12-19 06:23:36.989,Late-Game Lock,Warlock
2014-12-19 19:03:08.995,Spare Part Mage,Mage
2014-12-19 21:51:00.318,LochMechMonster -- A GvG Handlock Deck,Warlock
2014-12-19 23:13:35.735,K.T. Baron Hunter,Hunter
2014-12-19 23:31:03.119,Budget Control Warrior,Warrior
2014-12-19 23:40:38.212,GvG control,Warrior
2014-12-20 02:09:01.332,Midrange deathrattle,Hunter
2014-12-20 15:18:12.767,Handlock Control Test,Warlock
2014-12-21 16:17:39.555,Ancestors is viable,Shaman
2014-12-21 16:19:26.345,Ramp Druid test,Druid
2014-12-21 20:44:58.923,Burn Shaman,Shaman
2014-12-22 01:31:21.671,Crusader,Paladin
2014-12-22 01:46:24.284,"""Ancestor's! Hey Ancestor's!""",Shaman
2014-12-22 01:58:07.790,Treeharder,Druid
2014-12-22 02:10:14.443,Face Hunter,Hunter
2014-12-22 02:35:27.830,Slow Paladin,Paladin
2014-12-22 03:53:52.361,Freeze Mage,Mage
2014-12-22 04:08:39.653,The Blue Hermit's Midrange Ramp Druid,Druid
2014-12-22 04:42:52.411,It's not fancy but it does have Dr. Boom. Mid-range Pally.,Paladin
2014-12-22 08:10:00.592,DR. Handlock,Warlock
2014-12-22 08:27:22.520,Dog's Cancer Druid,Druid
2014-12-22 10:41:12.102,hsdogdog Cancer Druid,Druid
2014-12-22 11:06:50.065,Legend Handlock,Warlock
2014-12-22 11:23:46.696,Feign Death hunter,Hunter
2014-12-22 15:04:17.639,Sneaky R-Ogre [Wailing Soul],Rogue
2014-12-22 22:38:00.136,Cheap Aggro,Shaman
2014-12-22 22:54:49.156,Barf,Warlock
2014-12-23 05:01:14.060,Beast Hunter(oldy),Hunter
2014-12-23 05:11:49.029,Murloc Spell combo,Shaman
2014-12-23 05:18:17.023,Feigh Death/Rattle,Hunter
2014-12-23 15:25:03.294,Stardust's Midrange mecherino mage,Mage
2014-12-23 16:20:18.319,Giants Shaman(Hand Shaman),Shaman
2014-12-23 18:31:09.679,There be Demons v1,Warlock
2014-12-23 19:54:56.966,Mid late game control priest,Priest
2014-12-23 20:42:20.487,Tempo/Secrets Paladin,Paladin
2014-12-23 22:46:41.686,Gaara GVG- Priest,Priest
2014-12-24 03:17:49.280,Pirates,Rogue
2014-12-24 06:38:52.345,DR Priest,Priest
2014-12-24 16:17:05.861,Low budget hunter,Hunter
2014-12-24 17:02:39.294,Dragon Druid,Druid
2014-12-24 17:14:31.337,Tides Aggro,Mage
2014-12-24 17:30:46.787,Ramp Silence Druid,Druid
2014-12-24 23:55:28.429,zoolock freeRanks,Warlock
2014-12-25 03:37:04.240,Ebbene,Warlock
2014-12-25 11:21:43.729,RagLock,Warlock
2014-12-25 14:06:25.448,Shaman k,Shaman
2014-12-25 21:17:07.708,gulegend,Warlock
2014-12-26 06:19:06.109,Deathwizardx's Control Paladin,Paladin
2014-12-26 14:12:43.956,Obito San's Death Rattle Priest,Priest
2014-12-26 21:31:11.280,healbot Edition,Warlock
2014-12-26 23:42:06.724,just a solid priest deck,Priest
2014-12-27 01:20:30.600,Nocticimus Anti Aggro Priest,Priest
2014-12-27 15:58:20.453,Ramp Druid,Druid
2014-12-28 00:19:52.829,True Demon Lock,Warlock
2014-12-28 01:09:16.489,Meta control,Druid
2014-12-28 01:49:04.459,blah,Paladin
2014-12-28 14:44:29.364,Tot Mage,Mage
2014-12-28 20:07:09.473,"""Poor man's"" Anti-Aggro Warrior",Warrior
2014-12-28 22:01:40.979,Suicide Warlock,Warlock
2014-12-29 02:56:19.250,Ddawwg's Mech Mircales,Rogue
2014-12-29 15:06:36.315,Aggro Shaman,Shaman
2014-12-29 18:45:12.802,NecroShaman,Shaman
2014-12-30 06:03:11.439,Bad Beasts,Druid
2014-12-30 16:16:20.349,Noticimus Legendary Rank 1 EU Paladin Deck,Paladin
2014-12-30 21:40:46.556,Control Rogue,Rogue
2014-12-31 02:08:40.982,Amazingz,Mage
2014-12-31 04:55:28.379,mnjn,Paladin
2014-12-31 09:43:33.449,arena1,Mage
2014-12-31 11:17:35.558,Iron Forest,Druid
2014-12-31 18:51:59.702,Iron Forest #2,Druid
2015-01-01 03:19:57.037,Long Game Pallidan,Paladin
2015-01-01 04:13:36.840,Necromancy,Shaman
2015-01-01 10:51:16.817,Tempo Priest,Priest
2015-01-01 11:32:25.726,xylon's Cheap and efficient FaceHunter !,Hunter
2015-01-01 22:04:58.080,Gaara Ramp GVG,Druid
2015-01-01 23:46:54.505,wait..wait..BOOM,Mage
